City_ID,City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
320,Alofi,NU,1621323714,-19.0595,-169.9187,75,83,76.89,8.05
321,Eureka,US,1621323715,40.8021,-124.1637,15,88,49.68,3.42
322,Arrondissement de Bastia,FR,1621323715,42.6667,9.3333,0,43,68.02,1.01
323,Puerto Escondido,MX,1621323715,15.85,-97.0667,5,76,82.35,5.77
324,Herat Province,AF,1621323716,34.5,62.0,0,9,90.19,10.25
325,Kharp,RU,1621323716,66.8014,65.8081,100,53,38.95,4.5
326,Brodokalmak,RU,1621323717,55.5748,62.082,33,41,83.3,12.82
327,Concordia,AR,1621323658,-31.393,-58.0209,7,100,45.79,4.18
328,Prome,MM,1621323717,18.8167,95.2167,59,22,109.2,7.36
329,Nishihara,JP,1621323718,26.1842,127.7558,75,78,87.46,9.15
330,Dunedin,NZ,1621323526,-45.8742,170.5036,98,79,42.8,21.0
331,Grand Forks,US,1621323719,47.9417,-97.4337,1,58,62.53,8.05
332,Pisco,PE,1621323719,-13.7,-76.2167,90,88,63.01,3.44
333,Brigantine,US,1621323719,39.4101,-74.3646,1,78,60.01,9.01
334,Bengkulu,ID,1621323720,-3.8004,102.2655,88,68,83.46,6.08
335,Voh,NC,1621323720,-20.9667,164.7,100,78,72.88,8.14
336,Liverpool,GB,1621323705,53.4106,-2.9779,40,77,56.28,3.0
337,Boldu,RO,1621323721,45.3333,27.2333,90,44,65.52,10.69
338,Aurillac,FR,1621323721,44.9167,2.45,0,81,48.45,1.14
339,Mackenzie,CA,1621323721,55.2999,-123.1698,75,87,41.22,0.0
340,Collie,AU,1621323722,-33.3667,116.15,61,77,64.98,4.99
341,Chake Chake,TZ,1621323722,-5.2459,39.7666,98,73,81.79,12.46
342,Karasjok,NO,1621323723,69.4719,25.5112,100,100,39.31,10.13
343,Kresttsy,RU,1621323723,58.2452,32.5165,100,62,75.22,11.5
344,Simpang,ID,1621323724,-1.2667,104.0833,100,89,81.9,0.49
345,Laguna,US,1621323724,38.421,-121.4238,1,72,63.21,1.99
346,Kitimat,CA,1621323725,54.0524,-128.6534,100,84,46.78,2.01
347,Bartica,GY,1621323725,6.4,-58.6167,66,100,75.52,1.54
348,Santa Isabel,BR,1621323725,-23.3156,-46.2214,1,94,62.38,0.85
349,Qui Nhon,VN,1621323704,13.7667,109.2333,44,69,87.73,15.66
350,Zabid,YE,1621323726,14.1951,43.3152,35,36,97.09,6.11
351,Broome,US,1621323726,42.2506,-75.833,88,67,56.05,3.36
352,Manicoré,BR,1621323727,-5.8092,-61.3003,91,100,75.15,2.3
353,Touros,BR,1621323727,-5.1989,-35.4608,4,90,76.1,10.71
